"REF_DATE","GEO","DGUID","Housing estimates","Type of unit","UOM","UOM_ID","SCALAR_FACTOR","SCALAR_ID","VECTOR","COORDINATE","VALUE","STATUS","SYMBOL","TERMINATED","DECIMALS"
"1962","Halifax, Nova Scotia","2011S0503205","Housing starts","Row units","Units","300","units","0","v42128108","5.1.4","68","","","","0"
"1962","Halifax, Nova Scotia","2011S0503205","Housing starts","Apartment and other unit types","Units","300","units","0","v42128109","5.1.5","702","","","","0"
"1962","Halifax, Nova Scotia","2011S0503205","Housing under construction","Total units","Units","300","units","0","v42128110","5.2.1","1003","","","","0"
"1962","Halifax, Nova Scotia","2011S0503205","Housing under construction","Single-detached units","Units","300","units","0","v42128111","5.2.2","574","","","","0"
"1962","Halifax, Nova Scotia","2011S0503205","Housing under construction","Semi-detached units","Units","300","units","0","v42128112","5.2.3","21","","","","0"
"1962","Halifax, Nova Scotia","2011S0503205","Housing under construction","Row units","Units","300","units","0","v42128113","5.2.4","55","","","","0"
"1962","Halifax, Nova Scotia","2011S0503205","Housing under construction","Apartment and other unit types","Units","300","units","0","v42128114","5.2.5","353","","","","0"
"1962","Halifax, Nova Scotia","2011S0503205","Housing completions","Total units","Units","300","units","0","v42128115","5.3.1","1333","","","","0"
"1962","Halifax, Nova Scotia","2011S0503205","Housing completions","Single-detached units","Units","300","units","0","v42128116","5.3.2","733","","","","0"
"1962","Halifax, Nova Scotia","2011S0503205","Housing completions","Semi-detached units","Units","300","units","0","v42128117","5.3.3","71","","","","0"
"1962","Halifax, Nova Scotia","2011S0503205","Housing completions","Row units","Units","300","units","0","v42128118","5.3.4","97","","","","0"
"1962","Halifax, Nova Scotia","2011S0503205","Housing completions","Apartment and other unit types","Units","300","units","0","v42128119","5.3.5","432","","","","0"
"1962","Hamilton, Ontario","2011S0503537","Housing starts","Total units","Units","300","units","0","v42128120","6.1.1","2921","","","","0"
"1962","Hamilton, Ontario","2011S0503537","Housing starts","Single-detached units","Units","300","units","0","v42128121","6.1.2","1547","","","","0"
"1962","Hamilton, Ontario","2011S0503537","Housing starts","Semi-detached units","Units","300","units","0","v42128122","6.1.3","89","","","","0"
"1962","Hamilton, Ontario","2011S0503537","Housing starts","Row units","Units","300","units","0","v42128123","6.1.4","0","","","","0"
"1962","Hamilton, Ontario","2011S0503537","Housing starts","Apartment and other unit types","Units","300","units","0","v42128124","6.1.5","1285","","","","0"
"1962","Hamilton, Ontario","2011S0503537","Housing under construction","Total units","Units","300","units","0","v42128125","6.2.1","997","","","","0"
"1962","Hamilton, Ontario","2011S0503537","Housing under construction","Single-detached units","Units","300","units","0","v42128126","6.2.2","584","","","","0"
"1962","Hamilton, Ontario","2011S0503537","Housing under construction","Semi-detached units","Units","300","units","0","v42128127","6.2.3","35","","","","0"
"1962","Hamilton, Ontario","2011S0503537","Housing under construction","Row units","Units","300","units","0","v42128128","6.2.4","0","","","","0"
"1962","Hamilton, Ontario","2011S0503537","Housing under construction","Apartment and other unit types","Units","300","units","0","v42128129","6.2.5","378","","","","0"
"1962","Hamilton, Ontario","2011S0503537","Housing completions","Total units","Units","300","units","0","v42128130","6.3.1","2333","","","","0"
"1962","Hamilton, Ontario","2011S0503537","Housing completions","Single-detached units","Units","300","units","0","v42128131","6.3.2","1475","","","","0"
"1962","Hamilton, Ontario","2011S0503537","Housing completions","Semi-detached units","Units","300","units","0","v42128132","6.3.3","82","","","","0"
"1962","Hamilton, Ontario","2011S0503537","Housing completions","Row units","Units","300","units","0","v42128133","6.3.4","0","","","","0"
"1962","Hamilton, Ontario","2011S0503537","Housing completions","Apartment and other unit types","Units","300","units","0","v42128134","6.3.5","776","","","","0"
"1962","Kitchener-Cambridge-Waterloo, Ontario","2011S0503541","Housing starts","Total units","Units","300","units","0","v42128135","7.1.1","1381","","","","0"
"1962","Kitchener-Cambridge-Waterloo, Ontario","2011S0503541","Housing starts","Single-detached units","Units","300","units","0","v42128136","7.1.2","858","","","","0"
"1962","Kitchener-Cambridge-Waterloo, Ontario","2011S0503541","Housing starts","Semi-detached units","Units","300","units","0","v42128137","7.1.3","95","","","","0"
"1962","Kitchener-Cambridge-Waterloo, Ontario","2011S0503541","Housing starts","Row units","Units","300","units","0","v42128138","7.1.4","0","","","","0"
"1962","Kitchener-Cambridge-Waterloo, Ontario","2011S0503541","Housing starts","Apartment and other unit types","Units","300","units","0","v42128139","7.1.5","428","","","","0"
"1962","Kitchener-Cambridge-Waterloo, Ontario","2011S0503541","Housing under construction","Total units","Units","300","units","0","v42128140","7.2.1","729","","","","0"
"1962","Kitchener-Cambridge-Waterloo, Ontario","2011S0503541","Housing under construction","Single-detached units","Units","300","units","0","v42128141","7.2.2","299","","","","0"
"1962","Kitchener-Cambridge-Waterloo, Ontario","2011S0503541","Housing under construction","Semi-detached units","Units","300","units","0","v42128142","7.2.3","34","","","","0"
"1962","Kitchener-Cambridge-Waterloo, Ontario","2011S0503541","Housing under construction","Row units","Units","300","units","0","v42128143","7.2.4","4","","","","0"
"1962","Kitchener-Cambridge-Waterloo, Ontario","2011S0503541","Housing under construction","Apartment and other unit types","Units","300","units","0","v42128144","7.2.5","392","","","","0"
"1962","Kitchener-Cambridge-Waterloo, Ontario","2011S0503541","Housing completions","Total units","Units","300","units","0","v42128145","7.3.1","1456","","","","0"
"1962","Kitchener-Cambridge-Waterloo, Ontario","2011S0503541","Housing completions","Single-detached units","Units","300","units","0","v42128146","7.3.2","813","","","","0"
"1962","Kitchener-Cambridge-Waterloo, Ontario","2011S0503541","Housing completions","Semi-detached units","Units","300","units","0","v42128147","7.3.3","95","","","","0"
"1962","Kitchener-Cambridge-Waterloo, Ontario","2011S0503541","Housing completions","Row units","Units","300","units","0","v42128148","7.3.4","4","","","","0"
"1962","Kitchener-Cambridge-Waterloo, Ontario","2011S0503541","Housing completions","Apartment and other unit types","Units","300","units","0","v42128149","7.3.5","544","","","","0"
"1962","London, Ontario","2011S0503555","Housing starts","Total units","Units","300","units","0","v42128150","8.1.1","2251","","","","0"
"1962","London, Ontario","2011S0503555","Housing starts","Single-detached units","Units","300","units","0","v42128151","8.1.2","964","","","","0"
"1962","London, Ontario","2011S0503555","Housing starts","Semi-detached units","Units","300","units","0","v42128152","8.1.3","124","","","","0"
"1962","London, Ontario","2011S0503555","Housing starts","Row units","Units","300","units","0","v42128153","8.1.4","56","","","","0"
"1962","London, Ontario","2011S0503555","Housing starts","Apartment and other unit types","Units","300","units","0","v42128154","8.1.5","1107","","","","0"
"1962","London, Ontario","2011S0503555","Housing under construction","Total units","Units","300","units","0","v42128155","8.2.1","788","","","","0"
"1962","London, Ontario","2011S0503555","Housing under construction","Single-detached units","Units","300","units","0","v42128156","8.2.2","394","","","","0"
"1962","London, Ontario","2011S0503555","Housing under construction","Semi-detached units","Units","300","units","0","v42128157","8.2.3","86","","","","0"
"1962","London, Ontario","2011S0503555","Housing under construction","Row units","Units","300","units","0","v42128158","8.2.4","95","","","","0"
"1962","London, Ontario","2011S0503555","Housing under construction","Apartment and other unit types","Units","300","units","0","v42128159","8.2.5","213","","","","0"
"1962","London, Ontario","2011S0503555","Housing completions","Total units","Units","300","units","0","v42128160","8.3.1","1699","","","","0"
"1962","London, Ontario","2011S0503555","Housing completions","Single-detached units","Units","300","units","0","v42128161","8.3.2","974","","","","0"
"1962","London, Ontario","2011S0503555","Housing completions","Semi-detached units","Units","300","units","0","v42128162","8.3.3","158","","","","0"
"1962","London, Ontario","2011S0503555","Housing completions","Row units","Units","300","units","0","v42128163","8.3.4","97","","","","0"
"1962","London, Ontario","2011S0503555","Housing completions","Apartment and other unit types","Units","300","units","0","v42128164","8.3.5","470","","","","0"
"1962","Montréal excluding Saint-Jérôme, Quebec","","Housing starts","Total units","Units","300","units","0","v42127730","10.1.1","25610","","","t","0"
"1962","Montréal excluding Saint-Jérôme, Quebec","","Housing starts","Single-detached units","Units","300","units","0","v42127731","10.1.2","8289","","","t","0"
"1962","Montréal excluding Saint-Jérôme, Quebec","","Housing starts","Semi-detached units","Units","300","units","0","v42127732","10.1.3","5297","","","t","0"
"1962","Montréal excluding Saint-Jérôme, Quebec","","Housing starts","Row units","Units","300","units","0","v42127733","10.1.4","1038","","","t","0"
"1962","Montréal excluding Saint-Jérôme, Quebec","","Housing starts","Apartment and other unit types","Units","300","units","0","v42127734","10.1.5","10986","","","t","0"
"1962","Montréal excluding Saint-Jérôme, Quebec","","Housing under construction","Total units","Units","300","units","0","v42127735","10.2.1","10507","","","t","0"
