cma_key,year,population,ln_pop
kitchener cambridge waterloo,2017,553879,13.2247015303218
kitchener cambridge waterloo,2018,568467,13.2506985429945
kitchener cambridge waterloo,2019,582884,13.27574347469483
kitchener cambridge waterloo,2020,595366,13.29693162146571
kitchener cambridge waterloo,2021,602303,13.30851591992593
kitchener cambridge waterloo,2022,627929,13.35018238173403
kitchener cambridge waterloo,2023,664490,13.40677510811325
london,2016,510203,13.1425639647196
london,2017,523022,13.16737880717191
london,2018,537014,13.19377944391467
london,2019,548743,13.21538548702592
london,2020,559067,13.23402460184227
london,2021,567539,13.24906474844338
london,2022,586473,13.28188191021036
london,2023,607654,13.31736092001405
moncton,2016,148470,11.90813819661404
moncton,2017,150156,11.91943003265306
moncton,2018,152020,11.93176737012003
moncton,2019,155078,11.95168349513219
moncton,2020,158135,11.97120437757101
moncton,2021,161376,11.99149232487645
moncton,2022,168356,12.03383606398977
moncton,2023,178208,12.0907066863894
montreal,2016,4146025,15.23766060186803
montreal,2017,4193413,15.24902551879817
montreal,2018,4261700,15.26517869967474
montreal,2019,4327976,15.28061055420657
montreal,2020,4356853,15.2872605657193
montreal,2021,4330143,15.2811111248375
montreal,2022,4372296,15.29079882955494
montreal,2023,4465221,15.31182926714847
nanaimo,2016,109335,11.60217184248442
nanaimo,2017,111651,11.62313321378888
nanaimo,2018,114435,11.64776225519244
nanaimo,2019,117004,11.66996340122968
nanaimo,2020,118556,11.68314070176914
nanaimo,2021,120213,11.69702044831332
nanaimo,2022,122944,11.71948424612823
nanaimo,2023,125313,11.7385698865
ottawa gatineau,2016,1407766,14.15751460870669
ottawa gatineau,2017,1437124,14.1781544522221
ottawa gatineau,2018,1466353,14.19828892371193
ottawa gatineau,2019,1496791,14.21883404109657
ottawa gatineau,2020,1524974,14.23748791869798
ottawa gatineau,2021,1540340,14.24751372924245
ottawa gatineau,2022,1568982,14.26593755937403
ottawa gatineau,2023,1610010,14.29175094812148
peterborough,2016,125189,11.73757987436335
peterborough,2017,127603,11.75667916058823
peterborough,2018,130707,11.78071345594402
peterborough,2019,131798,11.78902572642858
peterborough,2020,132672,11.79563519579545
peterborough,2021,133661,11.80306202270698
peterborough,2022,137058,11.82815947288393
peterborough,2023,141740,11.86174967236425
quebec,2016,811724,13.60691565988638
quebec,2017,817163,13.6135938643465
quebec,2018,824428,13.62244509151677
quebec,2019,832966,13.63274810398944
quebec,2020,840396,13.64162848830339
quebec,2021,844774,13.64682441494538
quebec,2022,857697,13.66200616924592
quebec,2023,875108,13.6821025862945
regina,2016,245295,12.4102168468346
regina,2017,249788,12.42836783708899
regina,2018,253503,12.44313093626288
regina,2019,256646,12.45545298243937
regina,2020,257598,12.45915550920704
regina,2021,257368,12.45826224629146
regina,2022,260689,12.47108340493857
regina,2023,271896,12.51317491922143
saint john,2016,129019,11.76771495931987
saint john,2017,129658,11.77265549365244
saint john,2018,130432,11.77860729714234
saint john,2019,131349,11.78561318183766
saint john,2020,132226,11.79226785877191
saint john,2021,133140,11.7991564851547
saint john,2022,135443,11.81630616659124
saint john,2023,138854,11.84117830038626
saskatoon,2016,307308,12.63560578097204
saskatoon,2017,313434,12.65534409057555
saskatoon,2018,318625,12.67177014167842
saskatoon,2019,323519,12.68701312381046
saskatoon,2020,327547,12.69938683521104
saskatoon,2021,328256,12.70154907074894
saskatoon,2022,336168,12.72536631398699
saskatoon,2023,352851,12.77380115049043
sherbrooke,2016,213468,12.27124221751327
sherbrooke,2017,215730,12.28178290476465
sherbrooke,2018,218818,12.29599561305665
sherbrooke,2019,222318,12.31186406833418
sherbrooke,2020,225902,12.32785655589189
sherbrooke,2021,229294,12.34276030190966
sherbrooke,2022,233354,12.36031189286379
sherbrooke,2023,237466,12.37777973431403
st catharines niagara,2016,417726,12.94258099417892
st catharines niagara,2017,425266,12.96047013447682
st catharines niagara,2018,432564,12.97748557128519
st catharines niagara,2019,439996,12.99452091494403
st catharines niagara,2020,445110,13.00607672161295
st catharines niagara,2021,450926,13.01905852519963
st catharines niagara,2022,462224,13.04380490104768
st catharines niagara,2023,477863,13.07707935951418
st john s,2016,213775,12.27267933902416
st john s,2017,215534,12.28087394870296
st john s,2018,216404,12.28490231007199
st john s,2019,217821,12.29142890356579
st john s,2020,219282,12.29811385169392
st john s,2021,220052,12.30161916104138
st john s,2022,224707,12.32255261033616
st john s,2023,232536,12.35680033073295
toronto,2016,6122329,15.62745313765116
toronto,2017,6202798,15.64051103853705
toronto,2018,6313488,15.65819885517007
toronto,2019,6426293,15.67590841363466
toronto,2020,6491939,15.68607181139256
toronto,2021,6472951,15.68314266759323
toronto,2022,6591642,15.70131304084427
toronto,2023,6840723,15.73840398576708
trois rivieres,2016,156729,11.96227347822835
trois rivieres,2017,157615,11.96791062954178
trois rivieres,2018,158164,11.97138774836941
trois rivieres,2019,159395,11.97914067721767
trois rivieres,2020,161361,11.99139936993165
trois rivieres,2021,162531,11.99862403178856
trois rivieres,2022,165780,12.01841688714552
trois rivieres,2023,168438,12.03432300854116
vancouver,2016,2585090,14.76527088156618
vancouver,2017,2619630,14.77854364439056
vancouver,2018,2663557,14.7951730055232
vancouver,2019,2715494,14.81448444691676
vancouver,2020,2750966,14.82746268068821
vancouver,2021,2771430,14.83487399044203
vancouver,2022,2855205,14.86465420234736
vancouver,2023,2970008,14.90407520437795
victoria,2016,384800,12.86047899777369
victoria,2017,390727,12.87576438538691
victoria,2018,397109,12.8919660811788
victoria,2019,403868,12.90884337088127
victoria,2020,409898,12.92366362724169
victoria,2021,414596,12.93505983108392
victoria,2022,426033,12.96227208704
victoria,2023,432684,12.9777629484089
windsor,2016,410828,12.92592991440219
windsor,2017,416871,12.94053210040359
windsor,2018,426477,12.96331371714438
windsor,2019,433979,12.98075142481508
windsor,2020,438328,12.99072276755149
windsor,2021,439473,12.99333156077316
windsor,2022,453224,13.02414176348582
windsor,2023,469673,13.05979198686274
winnipeg,2016,806186,13.60006976409641
winnipeg,2017,821697,13.61912699294511
winnipeg,2018,835049,13.63524568474596
winnipeg,2019,847015,13.64947368304054
winnipeg,2020,852805,13.65628619541593
winnipeg,2021,860237,13.66496321165946
winnipeg,2022,877045,13.68431358132642
winnipeg,2023,909657,13.72082288436275
