"Population estimates, July 1, by census metropolitan area and census agglomeration, 2021 boundaries 1 2 3 4 5 6 7"
"Frequency: Annual"
"Table: 17-10-0148-01"
"Release date: 2026-01-14"
"Geography: Canada, Census metropolitan area, Census agglomeration, Census metropolitan area part, Census agglomeration part"
""
""

"Gender","Total - gender",,,,,,,,,
"Age group 8","All ages",,,,,,,,,
"Geography","2016","2017","2018","2019","2020","2021","2022","2023","2024","2025"
,"Persons",,,,,,,,,
"Rimouski (CA), Quebec","53,661","53,654","53,694","53,924","54,025","54,209","54,651","55,319","56,542","56,959"
"Rivière-du-Loup (CA), Quebec","28,927","29,207","29,490","29,740","29,941","30,134","30,259","30,573","30,849","30,925"
"Baie-Comeau (CA), Quebec","27,632","27,449","27,086","26,892","26,719","26,730","26,652","26,556","26,530","26,446"
"Alma (CA), Quebec","30,742","30,643","30,428","30,447","30,406","30,418","30,496","30,685","30,813","30,682"
"Dolbeau-Mistassini (CA), Quebec","15,659","15,525","15,513","15,386","15,345","15,295","15,283","15,298","15,276","15,213"
"Sept-Îles (CA), Quebec","28,471","28,174","28,091","27,904","27,895","27,892","27,813","27,791","27,858","27,853"
"Sainte-Marie (CA), Quebec","13,501","13,582","13,607","13,375","12,938","13,199","13,343","13,468","13,706","13,933"
"Saint-Georges (CA), Quebec","34,199","34,265","34,591","34,772","34,866","34,970","35,215","35,620","35,973","36,067"
"Thetford Mines (CA), Quebec","27,516","27,709","27,829","27,842","28,028","28,332","28,485","28,925","29,251","29,602"
"Cowansville (CA), Quebec","13,641","13,920","14,113","14,451","14,770","15,377","15,908","16,230","16,578","17,011"
"Victoriaville (CA), Quebec","51,420","51,737","52,200","52,471","52,788","53,099","53,589","54,152","54,866","55,053"
"Shawinigan (CA), Quebec","49,317","49,081","48,931","48,876","49,117","49,892","50,678","51,113","51,604","51,734"
"Granby (CA), Quebec","85,362","86,296","87,170","88,341","89,821","91,440","92,605","93,764","95,061","95,867"
"Saint-Hyacinthe (CA), Quebec","58,360","58,629","58,824","59,273","59,927","60,306","61,224","62,124","63,137","63,565"
"Sorel-Tracy (CA), Quebec","41,624","41,475","41,378","41,418","41,703","42,124","42,525","42,629","43,112","43,478"
"Joliette (CA), Quebec","49,482","50,028","50,609","51,343","52,057","53,023","53,706","54,504","55,347","56,044"
